category,idx,product_name,url,crawl_status,image_count,image_status,image_types,print_area_status,spec_count,spec_status,spec_keys,crawled_at,json_path
Bottle,32,130ml 브로우용기,http://chungjinkorea.com/kr/product/view.php?idx=32,성공,1,성공,main,성공,3,완료,"Phone,Fax,Email",2025-10-18T12:45:52.784803,crawled_products/idx_32.json
Bottle,320,150ml 브로우용기,http://chungjinkorea.com/kr/product/view.php?idx=320,성공,1,성공,main,성공,3,완료,"Phone,Fax,Email",2025-10-18T12:47:08.385477,crawled_products/idx_320.json
Bottle,321,300ml 브로우용기,http://chungjinkorea.com/kr/product/view.php?idx=321,성공,1,성공,main,성공,3,완료,"Phone,Fax,Email",2025-10-18T12:51:31.293362,crawled_products/idx_321.json
Bottle,322,500ml 브로우용기,http://chungjinkorea.com/kr/product/view.php?idx=322,성공,1,성공,main,성공,3,완료,"Phone,Fax,Email",2025-10-18T12:50:35.983133,crawled_products/idx_322.json
Bottle,323,650ml 브로우용기,http://chungjinkorea.com/kr/product/view.php?idx=323,성공,1,성공,main,성공,3,완료,"Phone,Fax,Email",2025-10-18T12:40:28.982036,crawled_products/idx_323.json
Bottle,324,500ml 브로우용기,http://chungjinkorea.com/kr/product/view.php?idx=324,성공,2,성공,main,성공,3,완료,"Phone,Fax,Email",2025-10-18T12:35:07.949505,crawled_products/idx_324.json
Bottle,325,500ml 브로우용기,http://chungjinkorea.com/kr/product/view.php?idx=325,성공,1,성공,main,성공,3,완료,"Phone,Fax,Email",2025-10-18T12:52:27.583293,crawled_products/idx_325.json
Bottle,327,120ml 브로우용기,http://chungjinkorea.com/kr/product/view.php?idx=327,성공,1,성공,main,성공,3,완료,"Phone,Fax,Email",2025-10-18T13:02:53.219349,crawled_products/idx_327.json
Bottle,328,300ml 브로우용기,http://chungjinkorea.com/kr/product/view.php?idx=328,성공,1,성공,main,성공,3,완료,"Phone,Fax,Email",2025-10-18T12:39:33.907909,crawled_products/idx_328.json
Bottle,329,500ml 브로우용기,http://chungjinkorea.com/kr/product/view.php?idx=329,성공,1,성공,main,성공,3,완료,"Phone,Fax,Email",2025-10-18T12:43:34.777051,crawled_products/idx_329.json
Bottle,33,150ml 브로우용기,http://chungjinkorea.com/kr/product/view.php?idx=33,성공,1,성공,main,없음,3,완료,"Phone,Fax,Email",2025-10-18T12:58:16.048155,crawled_products/idx_33.json
Bottle,330,500ml 브로우용기,http://chungjinkorea.com/kr/product/view.php?idx=330,성공,1,성공,main,성공,3,완료,"Phone,Fax,Email",2025-10-18T12:39:52.429061,crawled_products/idx_330.json
