product_code,product_name,material,spec,dimensions,category,packaging,mold,cost,price,production,note,images_count,image_files,has_print_area,source_file,source_type
GE300-S001,300ml 거품브로우용기,PE,67x67x115(mm)/Ø43,,Bottle/PE,,,,,,,3,GOODS1_1659933138.jpg|ADD_GOODS1_1659933138.jpg|1659933138_1.jpg,false,idx_433.json,crawled
BE120-U019,120ml 브로우용기,PE,60x34x121(mm)/Ø20,,Bottle/PE,,,,,,,3,ADD_GOODS2_1679040709.jpg|GOODS1_1679040709.jpg|ADD_GOODS1_1679040709.jpg,false,idx_825.json,crawled
BE380-S003,380ml 브로우용기,PE,67x67x129(mm)/Ø28,,Bottle/PE,,,,,,,2,GOODS1_1658126882.jpg|1658126882_1.jpg,false,idx_126.json,crawled
BE115-GU01,1500ml 브로우용기,PE,96x260(mm)/Ø38,,Bottle/PE,,,,,,,1,GOODS1_1658123160.jpg,false,idx_81.json,crawled
BE500-R003(28),500ml 브로우용기,PE,60x220(mm)/Ø28,,Bottle/PE,,,,,,,2,GOODS1_1658116803.jpg|ADD_GOODS1_1658116803.jpg,false,idx_39.json,crawled
TE070-U001,70ml 튜브브로우용기,PE,48x31x104(mm)/Ø18,,Bottle/PE,,,,,,,3,GOODS1_1660004763.jpg|ADD_GOODS1_1660004763.jpg|1660004763_1.jpg,false,idx_464.json,crawled
BE450-U010,450ml 브로우용기,PE,88x68x137(mm)/Ø28,,Bottle/PE,,,,,,,2,GOODS1_1658132712.jpg|1658132712_1.jpg,false,idx_171.json,crawled
BE500-C006,500ml 브로우용기,PE,89x188(mm)/Ø28,,Bottle/PE,,,,,,,1,GOODS1_1658392861.jpg,false,idx_258.json,crawled
BE330-H003,330ml 브로우용기,PE,65x47x186(mm)/Ø28,,Bottle/PE,,,,,,,1,GOODS1_1658307289.jpg,false,idx_188.json,crawled
TE150-K001,150ml 튜브브로우용기,PE,56x37x134(mm)/Ø20,,Bottle/PE,,,,,,,2,GOODS1_1660006089.jpg|1660006089_1.jpg,false,idx_472.json,crawled
BE500-U007,500ml 브로우용기,PE,118x58x146(mm)/Ø32,,Bottle/PE,,,,,,,2,GOODS1_1658132320.jpg|1658132320_1.jpg,false,idx_167.json,crawled
BE500-G001,500ml 브로우용기,PE,64x197(mm)/Ø32,,Bottle/PE,,,,,,,1,GOODS1_1658123034.jpg,false,idx_78.json,crawled
BE350-G007,350ml 브로우용기,PE,64x155(mm)/Ø24,,Bottle/PE,,,,,,,2,GOODS1_1658124153.jpg|ADD_GOODS1_1658124153.jpg,false,idx_97.json,crawled
BE200-S006,200ml 브로우용기,PE,82x44x101(mm)/Ø24,,Bottle/PE,,,,,,,1,GOODS1_1658127681.jpg,false,idx_130.json,crawled
BE400-G005,400ml 브로우용기,PE,67x148(mm)/Ø32,,Bottle/PE,,,,,,,3,ADD_GOODS2_1681462781.jpg|GOODS1_1681462781.jpg|ADD_GOODS1_1681462781.jpg,false,idx_833.json,crawled
BE650-C007,650ml 브로우용기,PE,114x47x209(mm)/Ø28,,Bottle/PE,,,,,,,3,GOODS1_1658392904.jpg|ADD_GOODS1_1658392904.jpg|1658392904_1.jpg,false,idx_262.json,crawled
BE500-R007,500ml 브로우용기,PE,70x175(mm)/Ø28,,Bottle/PE,,,,,,,2,GOODS1_1658119578.jpg|ADD_GOODS1_1658119578.jpg,false,idx_54.json,crawled
GT111-RM01,1000ml 거품브로우용기,PE,82x235(mm)/Ø43,,Bottle/PE,,,,,,,2,GOODS1_1659589725.jpg|ADD_GOODS1_1659589725.jpg,false,idx_370.json,crawled
BE200-R004,200ml 브로우용기,PE,48x147(mm)/Ø24,,Bottle/PE,,,,,,,1,GOODS1_1658117022.jpg,false,idx_42.json,crawled
GE200-G001,200ml 거품브로우용기,PE,48x158(mm)/Ø43,,Bottle/PE,,,,,,,1,GOODS1_1658475272.jpg,false,idx_366.json,crawled
BE080-R001,80ml 브로우용기,PE,38x97(mm)/Ø20,,Bottle/PE,,,,,,,1,GOODS1_1658115502.jpg,false,idx_15.json,crawled
BE050-R001,50ml 브로우용기,PE,35x85(mm)/Ø20,,Bottle/PE,,,,,,,1,GOODS1_1658115441.jpg,false,idx_14.json,crawled
BE060-R005,60ml 브로우용기,PE,36x89(mm)/Ø20,,Bottle/PE,,,,,,,1,GOODS1_1658117098.jpg,false,idx_43.json,crawled
BE900-R007,900ml 브로우용기,PE,85x213(mm)/Ø32,,Bottle/PE,,,,,,,1,GOODS1_1658119637.jpg,false,idx_55.json,crawled
BE750-G001,750ml 브로우용기,PE,72x232(mm)/Ø32,,Bottle/PE,,,,,,,1,GOODS1_1658123077.jpg,false,idx_79.json,crawled
BE500-G005,500ml 브로우용기,PE,72x167(mm)/Ø32,,Bottle/PE,,,,,,,2,GOODS1_1658124108.jpg|ADD_GOODS1_1658124108.jpg,false,idx_96.json,crawled
BE350-S006,350ml 브로우용기,PE,93x48x113(mm)/Ø24,,Bottle/PE,,,,,,,2,GOODS1_1658127741.jpg|ADD_GOODS1_1658127741.jpg,false,idx_131.json,crawled
BE300-R007,300ml 브로우용기,PE,65x124(mm)/Ø24,,Bottle/PE,,,,,,,2,GOODS1_1681462720.jpg|ADD_GOODS1_1681462720.jpg,false,idx_832.json,crawled
BE120-H004(18),120ml 브로우용기,PE,58x32x128(mm)/Ø18,,Bottle/PE,,,,,,,1,GOODS1_1658307379.jpg,false,idx_189.json,crawled
TE200-K001,200ml 튜브브로우용기,PE,56x37x171(mm)/Ø20,,Bottle/PE,,,,,,,1,GOODS1_1660006207.jpg,false,idx_473.json,crawled
BE250-U007,250ml 브로우용기,PE,93x53x118(mm)/Ø28,,Bottle/PE,,,,,,,2,GOODS1_1658132221.jpg|1658132221_1.jpg,false,idx_166.json,crawled
TE100-U001,100ml 튜브브로우용기,PE,64x35x145(mm)/Ø20,,Bottle/PE,,,,,,,3,GOODS1_1660004922.jpg|ADD_GOODS1_1660004922.jpg|1660004922_1.jpg,false,idx_465.json,crawled
BE400-R003,400ml 브로우용기,PE,57x204(mm)/Ø24,,Bottle/PE,,,,,,,1,GOODS1_1658116703.jpg,false,idx_38.json,crawled
