idx,product_name,url,crawl_status,image_count,image_status,image_types,print_area_status,spec_count,spec_status,spec_keys,crawled_at,json_path
718,24파이 에센스펌프,http://chungjinkorea.com/kr/product/view.php?idx=718,성공,1,성공,main,없음,3,완료,"Phone,Fax,Email",2025-10-18T06:57:08.461482,products/idx_718.json
719,18파이 에센스펌프(소),http://chungjinkorea.com/kr/product/view.php?idx=719,성공,1,성공,main,없음,3,완료,"Phone,Fax,Email",2025-10-18T06:57:23.492557,products/idx_719.json
720,18파이 에센스펌프,http://chungjinkorea.com/kr/product/view.php?idx=720,성공,1,성공,main,없음,3,완료,"Phone,Fax,Email",2025-10-18T06:48:03.805038,products/idx_720.json
721,24파이 풀커버 에센스펌프,http://chungjinkorea.com/kr/product/view.php?idx=721,성공,1,성공,main,없음,3,완료,"Phone,Fax,Email",2025-10-18T06:54:02.029020,products/idx_721.json
723,24파이 오일펌프,http://chungjinkorea.com/kr/product/view.php?idx=723,성공,1,성공,main,없음,3,완료,"Phone,Fax,Email",2025-10-18T06:56:03.101467,products/idx_723.json
724,24파이 온오프펌프,http://chungjinkorea.com/kr/product/view.php?idx=724,성공,1,성공,main,없음,3,완료,"Phone,Fax,Email",2025-10-18T06:51:36.119023,products/idx_724.json
725,24파이 온오프 오일펌프,http://chungjinkorea.com/kr/product/view.php?idx=725,성공,2,성공,main,없음,3,완료,"Phone,Fax,Email",2025-10-18T06:53:40.907948,products/idx_725.json
726,20파이 프레스캡,http://chungjinkorea.com/kr/product/view.php?idx=726,성공,2,성공,main,없음,3,완료,"Phone,Fax,Email",2025-10-18T06:55:13.108357,products/idx_726.json
727,24파이 프레스캡,http://chungjinkorea.com/kr/product/view.php?idx=727,성공,2,성공,main,없음,3,완료,"Phone,Fax,Email",2025-10-18T07:00:47.834846,products/idx_727.json
729,28파이 프레스캡,http://chungjinkorea.com/kr/product/view.php?idx=729,성공,2,성공,main,없음,3,완료,"Phone,Fax,Email",2025-10-18T07:04:26.287562,products/idx_729.json
732,20파이 원터치캡,http://chungjinkorea.com/kr/product/view.php?idx=732,성공,2,성공,main,없음,3,완료,"Phone,Fax,Email",2025-10-18T06:53:32.538414,products/idx_732.json
733,24파이 원터치캡(3파이),http://chungjinkorea.com/kr/product/view.php?idx=733,성공,2,성공,main,없음,3,완료,"Phone,Fax,Email",2025-10-18T06:46:19.147302,products/idx_733.json
734,24파이 원터치캡(6파이),http://chungjinkorea.com/kr/product/view.php?idx=734,성공,2,성공,main,없음,3,완료,"Phone,Fax,Email",2025-10-18T07:03:18.076680,products/idx_734.json
735,28파이 원터치캡,http://chungjinkorea.com/kr/product/view.php?idx=735,성공,2,성공,main,없음,3,완료,"Phone,Fax,Email",2025-10-18T06:57:16.122944,products/idx_735.json
736,24파이 무광 원터치캡,http://chungjinkorea.com/kr/product/view.php?idx=736,성공,2,성공,main,없음,3,완료,"Phone,Fax,Email",2025-10-18T06:47:20.696053,products/idx_736.json
737,24파이 둥근머리원터치캡,http://chungjinkorea.com/kr/product/view.php?idx=737,성공,2,성공,main,없음,3,완료,"Phone,Fax,Email",2025-10-18T06:48:21.615761,products/idx_737.json
738,24파이 둥근머리원터치캡,http://chungjinkorea.com/kr/product/view.php?idx=738,성공,2,성공,main,없음,3,완료,"Phone,Fax,Email",2025-10-18T06:45:08.328215,products/idx_738.json
739,24파이 원터치캡,http://chungjinkorea.com/kr/product/view.php?idx=739,성공,2,성공,main,없음,3,완료,"Phone,Fax,Email",2025-10-18T06:46:10.006836,products/idx_739.json
740,20파이 룰렛캡,http://chungjinkorea.com/kr/product/view.php?idx=740,성공,1,성공,main,없음,3,완료,"Phone,Fax,Email",2025-10-18T07:03:51.323400,products/idx_740.json
741,24파이 룰렛캡,http://chungjinkorea.com/kr/product/view.php?idx=741,성공,1,성공,main,없음,3,완료,"Phone,Fax,Email",2025-10-18T06:50:25.119952,products/idx_741.json
742,28파이 룰렛캡,http://chungjinkorea.com/kr/product/view.php?idx=742,성공,1,성공,main,없음,3,완료,"Phone,Fax,Email",2025-10-18T07:00:57.875197,products/idx_742.json
743,32파이 룰렛캡,http://chungjinkorea.com/kr/product/view.php?idx=743,성공,1,성공,main,없음,3,완료,"Phone,Fax,Email",2025-10-18T06:51:18.506960,products/idx_743.json
744,43파이 룰렛캡,http://chungjinkorea.com/kr/product/view.php?idx=744,성공,1,성공,main,없음,3,완료,"Phone,Fax,Email",2025-10-18T06:48:12.254074,products/idx_744.json
745,20파이 민자 단캡,http://chungjinkorea.com/kr/product/view.php?idx=745,성공,1,성공,main,없음,3,완료,"Phone,Fax,Email",2025-10-18T06:58:19.762529,products/idx_745.json
746,24파이 민자캡,http://chungjinkorea.com/kr/product/view.php?idx=746,성공,1,성공,main,없음,3,완료,"Phone,Fax,Email",2025-10-18T07:03:26.286579,products/idx_746.json
747,28파이 민자캡,http://chungjinkorea.com/kr/product/view.php?idx=747,성공,1,성공,main,없음,3,완료,"Phone,Fax,Email",2025-10-18T07:01:50.067028,products/idx_747.json
748,32파이 민자캡,http://chungjinkorea.com/kr/product/view.php?idx=748,성공,1,성공,main,없음,3,완료,"Phone,Fax,Email",2025-10-18T06:52:03.037360,products/idx_748.json
749,20파이 스킨각캡,http://chungjinkorea.com/kr/product/view.php?idx=749,성공,1,성공,main,없음,3,완료,"Phone,Fax,Email",2025-10-18T06:54:21.278456,products/idx_749.json
750,24파이 스킨각캡,http://chungjinkorea.com/kr/product/view.php?idx=750,성공,1,성공,main,없음,3,완료,"Phone,Fax,Email",2025-10-18T07:01:23.645834,products/idx_750.json
751,20파이 이중단캡,http://chungjinkorea.com/kr/product/view.php?idx=751,성공,1,성공,main,없음,3,완료,"Phone,Fax,Email",2025-10-18T06:46:53.689055,products/idx_751.json
