idx,product_name,url,crawl_status,image_count,image_status,image_types,print_area_status,spec_count,spec_status,spec_keys,crawled_at,json_path
13,40ml 브로우용기,http://chungjinkorea.com/kr/product/view.php?idx=13,성공,1,성공,main,성공,3,완료,"Phone,Fax,Email",2025-10-18T12:58:34.170824,products/idx_13.json
14,50ml 브로우용기,http://chungjinkorea.com/kr/product/view.php?idx=14,성공,1,성공,main,성공,3,완료,"Phone,Fax,Email",2025-10-18T13:01:11.381793,products/idx_14.json
15,80ml 브로우용기,http://chungjinkorea.com/kr/product/view.php?idx=15,성공,1,성공,main,성공,3,완료,"Phone,Fax,Email",2025-10-18T13:01:48.563167,products/idx_15.json
16,100ml 브로우용기,http://chungjinkorea.com/kr/product/view.php?idx=16,성공,1,성공,main,성공,3,완료,"Phone,Fax,Email",2025-10-18T13:00:13.327917,products/idx_16.json
17,140ml 브로우용기,http://chungjinkorea.com/kr/product/view.php?idx=17,성공,1,성공,main,성공,3,완료,"Phone,Fax,Email",2025-10-18T13:01:19.961326,products/idx_17.json
18,150ml 브로우용기,http://chungjinkorea.com/kr/product/view.php?idx=18,성공,1,성공,main,성공,3,완료,"Phone,Fax,Email",2025-10-18T12:52:54.832780,products/idx_18.json
19,200ml 브로우용기,http://chungjinkorea.com/kr/product/view.php?idx=19,성공,1,성공,main,성공,3,완료,"Phone,Fax,Email",2025-10-18T12:54:54.241875,products/idx_19.json
20,250ml 브로우용기,http://chungjinkorea.com/kr/product/view.php?idx=20,성공,2,성공,main,성공,3,완료,"Phone,Fax,Email",2025-10-18T12:50:45.444723,products/idx_20.json
21,300ml 브로우용기,http://chungjinkorea.com/kr/product/view.php?idx=21,성공,1,성공,main,성공,3,완료,"Phone,Fax,Email",2025-10-18T12:44:20.243851,products/idx_21.json
22,350ml 브로우용기,http://chungjinkorea.com/kr/product/view.php?idx=22,성공,1,성공,main,성공,3,완료,"Phone,Fax,Email",2025-10-18T12:40:47.160147,products/idx_22.json
23,400ml 브로우용기,http://chungjinkorea.com/kr/product/view.php?idx=23,성공,1,성공,main,성공,3,완료,"Phone,Fax,Email",2025-10-18T13:01:57.490457,products/idx_23.json
24,500ml 브로우용기,http://chungjinkorea.com/kr/product/view.php?idx=24,성공,1,성공,main,성공,3,완료,"Phone,Fax,Email",2025-10-18T12:31:58.890109,products/idx_24.json
25,700ml 브로우용기,http://chungjinkorea.com/kr/product/view.php?idx=25,성공,1,성공,main,성공,3,완료,"Phone,Fax,Email",2025-10-18T12:56:22.825008,products/idx_25.json
26,900ml 브로우용기,http://chungjinkorea.com/kr/product/view.php?idx=26,성공,1,성공,main,성공,3,완료,"Phone,Fax,Email",2025-10-18T12:47:35.359197,products/idx_26.json
